Method,Parameters,Dataset,Build_Time_s,Index_Size_MB,n_tables,n_proj,iProbes,qProbes,recall,qps,p50_us,p95_us,p99_us,dist_err_ratio
Falconn++,"""L=50, D=256, iP=40, qP=100""",MSMARCO,942.7904844284058,7236.12109375,50,256,40,100,0.9008882521489973,972.3825202430326,1169.7725,1315.61345,1376.175089999997,1.001698
Falconn++,"""L=50, D=256, iP=40, qP=500""",MSMARCO,942.7904844284058,7236.12109375,50,256,40,500,0.9921489971346704,290.20608784429015,3390.0225,3683.096549999999,3938.5378099999975,1.0000343
Falconn++,"""L=50, D=256, iP=40, qP=1000""",MSMARCO,942.7904844284058,7236.12109375,50,256,40,1000,0.9984383954154729,170.34406977928205,5824.407,6161.51035,6248.5781099999995,1.0
Falconn++,"""L=50, D=256, iP=40, qP=2000""",MSMARCO,942.7904844284058,7236.12109375,50,256,40,2000,0.9997564469914041,96.31553003582773,9952.1415,10443.372449999999,10756.152949999998,1.0
Falconn++,"""L=50, D=256, iP=40, qP=4000""",MSMARCO,942.7904844284058,7236.12109375,50,256,40,4000,0.9999426934097422,57.65709985067483,17818.5485,19752.013349999997,21128.70983,1.0
Falconn++,"""L=100, D=128, iP=10, qP=100""",MSMARCO,592.376772403717,5960.21875,100,128,10,100,0.8854441260744986,833.1590676103325,1128.0015,1251.6385500000001,1294.4333100000001,1.0020956
Falconn++,"""L=100, D=128, iP=10, qP=500""",MSMARCO,592.376772403717,5960.21875,100,128,10,500,0.9908022922636104,268.37750752335484,3615.649,4106.429799999999,4659.590429999999,1.0000659
Falconn++,"""L=100, D=128, iP=10, qP=1000""",MSMARCO,592.376772403717,5960.21875,100,128,10,1000,0.9983381088825214,155.85751899696203,6344.5255,7089.1318,7980.470729999974,1.0000031
Falconn++,"""L=100, D=128, iP=10, qP=2000""",MSMARCO,592.376772403717,5960.21875,100,128,10,2000,0.999785100286533,92.54080495529777,10550.37,11201.974199999999,11591.519199999999,1.0
Falconn++,"""L=100, D=128, iP=10, qP=4000""",MSMARCO,592.376772403717,5960.21875,100,128,10,4000,0.9999570200573066,54.77659845205713,18160.878,19183.6697,20015.86984,1.0
Falconn++,"""L=100, D=128, iP=40, qP=100""",MSMARCO,1538.3001322746277,6015.15625,100,128,40,100,0.8788538681948423,890.8756646020764,1116.301,1255.32485,1534.5894099999994,1.0021007
Falconn++,"""L=100, D=128, iP=40, qP=500""",MSMARCO,1538.3001322746277,6015.15625,100,128,40,500,0.9889971346704872,281.0321244893216,3557.2525,3780.39735,4019.8126199999997,1.0000892
Falconn++,"""L=100, D=128, iP=40, qP=1000""",MSMARCO,1538.3001322746277,6015.15625,100,128,40,1000,0.9979083094555874,164.4338361975255,6061.8175,6336.97645,6394.301739999998,1.0000099
Falconn++,"""L=100, D=128, iP=40, qP=2000""",MSMARCO,1538.3001322746277,6015.15625,100,128,40,2000,0.9997421203438395,96.35785581136469,10469.712,11056.263050000001,11454.71219,1.0000005
Falconn++,"""L=100, D=128, iP=40, qP=4000""",MSMARCO,1538.3001322746277,6015.15625,100,128,40,4000,0.9999570200573066,56.28493533069988,17796.1145,18744.2128,19479.70347,1.0
Falconn++,"""L=100, D=256, iP=10, qP=100""",MSMARCO,726.2280497550964,7779.2890625,100,256,10,100,0.9133381088825215,889.2484161286401,1101.9585,1255.5637,1402.3375299999993,1.0011064
Falconn++,"""L=100, D=256, iP=10, qP=500""",MSMARCO,726.2280497550964,7779.2890625,100,256,10,500,0.9941833810888252,310.0017006386848,3212.5605,3453.0029499999996,3600.3319799999995,1.0000352
Falconn++,"""L=100, D=256, iP=10, qP=1000""",MSMARCO,726.2280497550964,7779.2890625,100,256,10,1000,0.9989684813753582,186.45681765410947,5337.751,5646.9753,5703.66621,1.0000018
Falconn++,"""L=100, D=256, iP=10, qP=2000""",MSMARCO,726.2280497550964,7779.2890625,100,256,10,2000,0.9998280802292264,110.61982920647318,8973.8185,9575.6886,9940.11651,1.0
Falconn++,"""L=100, D=256, iP=10, qP=4000""",MSMARCO,726.2280497550964,7779.2890625,100,256,10,4000,0.9999570200573066,63.347705666300904,15931.5985,17397.22585,18119.048439999995,1.0
Falconn++,"""L=100, D=256, iP=40, qP=100""",MSMARCO,1939.449584722519,8919.9921875,100,256,40,100,0.9312893982808023,794.6458054368844,1251.0385,1441.0798499999999,1517.98873,1.0007764
Falconn++,"""L=100, D=256, iP=40, qP=500""",MSMARCO,1939.449584722519,8919.9921875,100,256,40,500,0.9965042979942694,265.162456819723,3741.717,4010.3108499999985,4934.281409999984,1.0000154
Falconn++,"""L=100, D=256, iP=40, qP=1000""",MSMARCO,1939.449584722519,8919.9921875,100,256,40,1000,0.9994555873925501,148.14249085321663,6635.213,7472.635749999993,13915.880279999992,1.0
Falconn++,"""L=100, D=256, iP=40, qP=2000""",MSMARCO,1939.449584722519,8919.9921875,100,256,40,2000,0.9999283667621777,88.38275530194777,11812.623,15079.8856,16480.39446,1.0
Falconn++,"""L=100, D=256, iP=40, qP=4000""",MSMARCO,1939.449584722519,8919.9921875,100,256,40,4000,0.9999713467048711,54.50146909563793,18868.7655,21498.2173,22747.46709,1.0
